identifier	gene_symbol	chromosome	status	n_obs	molecular_weight	gravy	pI	rna_detected_percent	highest_tpm	description	learned_canonical_prob
AT4G29060.1	PETS	4	canonical	389.0	103.78085380000088	-0.4954879328436499	4.950926399230956	99.98	879.4488	elongation factor Ts family protein	0.9974836568291859
AT4G29070.1	Q2HIU1	4	canonical	4.0	29.65246180000001	-0.4544401544401549	9.389513969421388	99.98	198.7111	Phospholipase A2 family protein	0.9585382562538584
AT4G29080.1	IAA27	4	canonical	6.0	33.19517500000001	-0.5298360655737706	8.841081428527833	99.84	890.1707	phytochrome-associated protein 2	0.9500826083978261
AT4G29100.1	BH068	4	canonical	13.0	44.58397130000012	-0.7552825552825548	6.302216529846191	99.96	414.807	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	0.976752613463707
AT4G29120.1	3HID1	4	canonical	38.0	35.37135730000001	0.1374251497005988	8.584303855895996	99.98	548.3686	6-phosphogluconate dehydrogenase family protein	0.9844660581597146
AT4G29130.1	HXK1	4	canonical	99.0	53.70630390000007	0.0558467741935482	5.7571306228637695	100.0	281.9093	hexokinase 1	0.9901934585579006
AT4G29140.1	DTX51	4	canonical	5.0	57.053125800000124	0.6325187969924825	7.032824897766112	99.93	526.8288	MATE efflux family protein	0.9827872858883517
AT4G29150.1	F4JMV6	4	canonical	6.0	43.34073620000012	-0.553634085213033	10.915609550476074	85.58	202.9954	IQ-domain 25	0.7412770975241681
AT4G29160.1	VP322	4	canonical	37.0	24.332516399999985	-0.6557077625570773	4.894655799865721	100.0	410.0262	SNF7 family protein	0.9714591223161565
AT4G29170.1	MND1	4	canonical	12.0	26.40241180000002	-0.7265217391304346	5.141848564147948	99.82	45.6477	Mnd1 family protein	0.8330727232641769
AT4G29180.1	F4JMW3	4	canonical	7.0	101.57063870000071	-0.248737650933041	6.011030387878416	85.69	290.5806	root hair specific 16	0.9728009619893968
AT4G29190.1	C3H49	4	canonical	18.0	40.263943500000025	-0.677247191011236	6.171714210510253	99.96	865.132	Zinc finger C-x8-C-x5-C-x3-H type family protein	0.9750897889093295
AT4G29210.1	GAGT3	4	canonical	47.0	69.1475986000003	-0.0935635792778649	5.8373872756958	100.0	272.9355	gamma-glutamyl transpeptidase 4	0.9963051559164566
AT4G29220.1	PFKA1	4	canonical	50.0	51.990716700000064	-0.1985200845665966	7.217665290832521	99.98	294.0838	phosphofructokinase 1	0.991074690806661
AT4G29230.1	NAC75	4	canonical	15.0	54.87198320000021	-0.8696787148594373	6.54287281036377	99.4	56.217	NAC domain containing protein 75	0.8710423988589936
AT4G29240.1	Q9M0F7	4	canonical	19.0	44.2016528000001	0.0351807228915663	7.476907920837402	99.45	126.1693	Leucine-rich repeat (LRR) family protein	0.9019279325760808
AT4G29250.1	F4JMX1	4	canonical	4.0	52.64160650000008	-0.1582608695652176	6.651321601867676	28.52	621.2019	HXXXD-type acyl-transferase family protein	0.9181643868340427
AT4G29260.1	Q9M0F5	4	canonical	30.0	28.905972399999992	-0.2827450980392155	4.808317375183106	100.0	168.508	HAD superfamily%2C subfamily IIIB acid phosphatase	0.9566823847967922
AT4G29270.1	Q9M0F4	4	canonical	52.0	28.745982100000003	-0.3925781250000001	8.609510993957521	92.1	807.314	HAD superfamily%2C subfamily IIIB acid phosphatase	0.8335357117675174
AT4G29285.1	DF163	4	canonical	2.0	8.465027899999997	0.4052631578947367	8.450274085998537	8.32	741.6903	low-molecular-weight cysteine-rich 24	0.6277970950702343
AT4G29305.1	DF159	4	canonical	5.0	8.359745099999998	0.3493506493506495	8.085125160217284	23.37	317.4375	low-molecular-weight cysteine-rich 25	0.6846055832756281
AT4G29310.1	Q9M0F0	4	canonical	10.0	45.65549160000009	-0.2523584905660381	9.340904808044431	99.56	252.533	DUF1005 family protein (DUF1005)	0.9266538551831822
AT4G29330.1	DERL1	4	canonical	6.0	29.213124399999995	0.5293233082706766	9.952967643737791	100.0	245.9624	DERLIN-1	0.9641807373225831
AT4G29340.1	PRF4	4	canonical	44.0	14.418208699999989	-0.1641791044776118	5.019758415222167	75.37	813.7121	profilin 4	0.6215136099194841
AT4G29350.1	PRF2	4	canonical	71.0	13.997719599999993	-0.0763358778625952	4.913355827331542	100.0	1989.0288	profilin 2	0.9521050894822096
AT4G29360.2		4	canonical	16.0	58.73978010000009	-0.0216911764705882	4.996113395690917	99.84	340.03	O-Glycosyl hydrolases family 17 protein	0.985920318253532
AT4G29380.1	VPS15	4	canonical	78.0	168.12247330000017	-0.2376171352074964	6.677297019958497	100.0	141.8531	protein kinase family protein / WD-40 repeat family protein	0.9975686895792057
AT4G29400.1	Q5XV66	4	canonical	12.0	34.63969860000004	-0.6149006622516556	5.2533666610717775	99.79	83.6711	oxidoreductase/transition metal ion-binding protein (DUF3531)	0.9011985057941614
AT4G29410.1	RL282	4	canonical	63.0	15.910405299999985	-0.5993006993006992	11.04428844451904	99.98	1808.7305	Ribosomal L28e protein family	0.9421246182896647
AT4G29430.1	R15A5	4	canonical	27.0	14.91605429999998	-0.4713178294573646	9.82841472625732	99.96	231.3371	ribosomal protein S15A E	0.9254974217863847
AT4G29440.1	F4JNM2	4	canonical	79.0	119.28885590000124	-0.9581651376146794	6.375368309020996	100.0	155.719	Regulator of Vps4 activity in the MVB pathway protein	0.9988641678888196
AT4G29470.1	PLA2D	4	canonical	6.0	20.61656339999999	-0.1937172774869109	8.223087501525882	67.97	328.6833	Phospholipase A2 family protein	0.7401647199627562
AT4G29480.1	Q9M0D5	4	canonical	33.0	13.939837699999988	-0.366393442622951	9.015210533142092	100.0	368.1429	Mitochondrial ATP synthase subunit G protein	0.9476907399776582
AT4G29490.1	Q0WUQ7	4	canonical	44.0	54.40066300000009	-0.2018518518518523	5.8023176193237305	100.0	107.6067	Metallopeptidase M24 family protein	0.9870133347385022
AT4G29510.1	ANM11	4	canonical	42.0	43.89316040000006	-0.3115384615384621	4.826221656799316	99.98	313.205	arginine methyltransferase 11	0.9826833816963649
AT4G29520.1	Q9SU93	4	canonical	42.0	34.363137300000005	-0.7656862745098043	7.96102352142334	99.96	527.8261	nucleophosmin	0.9583265950335467
AT4G29530.1	PPSP3	4	canonical	17.0	28.052908900000027	-0.2828571428571428	5.162935829162596	99.45	186.4153	Pyridoxal phosphate phosphatase-related protein	0.7992567433410926
AT4G29540.1	LPXA	4	canonical	6.0	36.4562410000001	-0.0733532934131736	7.181117820739748	99.82	25.8745	bacterial transferase hexapeptide repeat-containing protein	0.909637826837709
AT4G29550.1	Y4295	4	canonical	8.0	41.185393700000034	-0.6284916201117317	4.720557975769043	92.88	23.5799	hypothetical protein (DUF626)	0.2984369393015607
AT4G29570.1	CDA8	4	canonical	8.0	32.27579790000002	-0.0447098976109214	6.658483314514162	53.25	204.8342	Cytidine/deoxycytidylate deaminase family protein	0.712539090245433
AT4G29590.1	Q9SU88	4	canonical	21.0	35.37265050000006	-0.2921135646687697	6.971154594421387	99.98	99.0705	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	0.9697763251964734
AT4G29610.1	CDA6	4	canonical	13.0	32.04348080000001	-0.1047781569965869	5.584169578552246	92.74	142.6904	Cytidine/deoxycytidylate deaminase family protein	0.8141773220144555
AT4G29640.1	CDA5	4	canonical	4.0	38.0801035	-0.2459537572254335	6.042405509948731	20.08	273.4359	Cytidine/deoxycytidylate deaminase family protein	0.7850924793576635
AT4G29658.2	A0A178V2T3	4	canonical	3.0	21.00741320000001	0.7257894736842102	5.082963371276854	18.37	88.5923	prenylated RAB acceptor 1.C	0.10509055066630552
AT4G29660.1	Y4966	4	canonical	5.0	12.271981199999995	-0.4339805825242718	9.48557186126709	99.89	146.7319	embryo defective 2752	0.9173160632133571
AT4G29670.1	TRL22	4	canonical	21.0	25.84334420000002	-0.1961702127659575	9.056728172302243	100.0	895.1096	atypical CYS HIS rich thioredoxin 2	0.9732663219202813
AT4G29680.1	Q9SU83	4	canonical	60.0	54.67749860000003	-0.1540322580645161	5.540574073791503	100.0	395.8985	Alkaline-phosphatase-like family protein	0.9927551739321677
AT4G29690.1	Q9SU82	4	canonical	38.0	51.26037880000002	-0.225382932166302	8.570507621765138	92.81	854.9758	Alkaline-phosphatase-like family protein	0.9506227972186648
AT4G29700.1	Q9SU81	4	canonical	38.0	51.586749000000005	-0.1702819956616052	7.647368049621583	98.92	493.3268	Alkaline-phosphatase-like family protein	0.9684158774923471
AT4G29720.1	PAO5	4	canonical	42.0	58.685716800000165	-0.2624765478424017	5.802886009216309	99.98	158.9777	polyamine oxidase 5	0.9934543447630572
AT4G29730.1	MSI5	4	canonical	38.0	53.99391460000013	-0.5164271047227927	6.117603492736816	99.86	66.8823	nucleosome/chromatin assembly factor group C5	0.9660809209845724
AT4G29740.2	CKX4	4	canonical	17.0	58.06062390000008	-0.0412213740458018	5.839603996276855	95.13	317.3994	cytokinin oxidase 4	0.9662252425963829
AT4G29750.1	F4JNR2	4	canonical	22.0	96.3325973000006	-0.7428061831153372	6.8770860671997065	99.96	113.1068	CRS1 / YhbY (CRM) domain-containing protein	0.9974867659185552
AT4G29760.1	HTT4	4	canonical	11.0	31.14836180000004	-0.2128571428571435	6.258393669128417	78.0	189.4522	target of trans acting-siR480/255 protein	0.5736278180236872
AT4G29780.1	Q84J48	4	canonical	16.0	60.11826430000007	-0.4303703703703699	6.950408363342285	100.0	2910.3675	nuclease	0.9941465453182571
AT4G29790.1	Q9SZQ2	4	canonical	32.0	133.23836060000073	-0.7777043765483086	8.800917625427246	100.0	1334.6642	serine/arginine repetitive matrix protein	0.998547142461035
AT4G29800.1	PLP8	4	canonical	13.0	56.96076010000012	-0.3678095238095243	9.158781623840332	94.61	137.5185	PATATIN-like protein 8	0.9202073163616183
AT4G29810.1	M2K2	4	canonical	28.0	39.84794790000007	-0.127548209366391	5.997559547424316	100.0	461.4543	MAP kinase kinase 2	0.9868912167352997
AT4G29820.1	CFIS1	4	canonical	9.0	25.56058930000001	-0.1900900900900902	8.594941139221195	99.84	116.3873	homolog of CFIM-25	0.9253099750620152
AT4G29830.1	VIP3	4	canonical	45.0	34.259267000000044	-0.1127725856697818	5.834772682189941	100.0	210.756	Transducin/WD40 repeat-like superfamily protein	0.9751788189782222
AT4G29840.1	THRC1	4	canonical	114.0	57.77632040000013	-0.1357414448669207	7.113252067565917	100.0	708.4207	Pyridoxal-5'-phosphate-dependent enzyme family protein	0.9936905171330731
AT4G29860.1	DSE1	4	canonical	11.0	41.98571180000002	-0.344559585492228	5.608155632019043	99.93	38.5556	Transducin/WD40 repeat-like superfamily protein	0.9470890792041614
AT4G29870.1	Q9SZQ8	4	canonical	6.0	18.7769717	0.5372093023255815	9.567253303527831	100.0	769.7025	Oligosaccharyltransferase complex/magnesium transporter family protein	0.9607813420075438
AT4G29880.1	PIRL7	4	canonical	7.0	41.98951660000006	-0.1396782841823058	8.978656959533694	98.94	301.3003	plant intracellular ras group-related LRR 7	0.9492412588534893
AT4G29890.1	CHMO	4	canonical	19.0	47.72365730000004	-0.2668246445497632	6.40100269317627	100.0	86.4409	choline monooxygenase%2C putative (CMO-like)	0.9803403321280549
AT4G29900.1	ACA10	4	canonical	93.0	116.85700910000074	0.0381665107577171	5.882403755187987	100.0	193.6421	autoinhibited Ca(2+)-ATPase 10	0.9982194319314054
AT4G29910.1	ORC5	4	canonical	25.0	60.637589100000206	-0.3713483146067418	6.322735404968263	99.95	50.0369	origin recognition complex protein 5	0.9839390625007357
AT4G29920.1	SMXL4	4	canonical	24.0	113.7831860000009	-0.4915437561455243	5.81118450164795	98.55	254.6056	Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein	0.9919076846680354
AT4G29930.1	BH027	4	canonical	5.0	29.303592500000025	-0.5590551181102359	4.762107276916503	90.27	198.9959	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	0.48527164610540535
AT4G29940.1	PRH	4	canonical	25.0	90.65639480000046	-1.0639447236180903	4.864360618591308	100.0	210.0396	pathogenesis related homeodomain protein A	0.9981334521059256
AT4G29950.1	Q9SZR5	4	canonical	33.0	93.17717420000052	-0.4704106280193237	4.921938514709471	100.0	319.3559	Ypt/Rab-GAP domain of gyp1p superfamily protein	0.9977832267094544
AT4G29960.1	Q9SZR6	4	canonical	12.0	31.90134440000001	-0.3896907216494852	5.405638313293457	100.0	197.7394	transmembrane protein	0.9648350288145402
AT4G29980.1	Q9SZV1	4	canonical	3.0	18.307895099999985	0.4946745562130173	4.879820823669434	26.21	1016.1081	fasciclin-like arabinogalactan protein	0.7327433110584658
AT4G30000.1	FOLM	4	canonical	40.0	60.737093700000194	-0.0996389891696751	7.01628475189209	99.93	52.0586	Dihydropterin pyrophosphokinase / Dihydropteroate synthase	0.976990414399996
AT4G30010.1	Q9SZV4	4	canonical	26.0	10.438833899999995	-0.5777777777777777	9.334780311584474	100.0	982.3365	ATP-dependent RNA helicase	0.9527594958987007
AT4G30020.1	SBT26	4	canonical	49.0	87.50352810000047	-0.0879901960784316	6.835536766052246	99.91	236.0703	PA-domain containing subtilase family protein	0.9965572397591949
AT4G30060.1	Q8W4E9	4	canonical	22.0	46.85552430000004	-0.3216957605985041	8.968148612976076	99.72	229.437	Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein	0.938791564307325
AT4G30064.1	DF171	4	canonical	2.0	8.181601899999997	0.4871794871794873	5.525398063659667	9.03	635.8382	low-molecular-weight cysteine-rich 61	0.6399789062164476
AT4G30070.1	DF182	4	canonical	2.0	13.862743999999989	-0.1542635658914727	5.572290229797362	9.31	150.0658	low-molecular-weight cysteine-rich 59	0.4004463070617949
AT4G30074.1	DF183	4	canonical	5.0	13.383314899999988	-0.207142857142857	8.414558601379397	4.74	103.5318	low-molecular-weight cysteine-rich 19	0.38041276883462727
AT4G30080.1	ARFP	4	canonical	20.0	73.97796370000043	-0.4088059701492533	6.946372795104979	99.98	297.7989	auxin response factor 16	0.9979044168489423
AT4G30090.1	F4JPI4	4	canonical	12.0	44.81396330000005	-0.4554123711340206	8.9650541305542	98.63	61.7358	golgin family A protein	0.724019472531755
AT4G30100.1	Q9SZW3	4	canonical	71.0	145.62364990000026	-0.5615560640732277	6.6026105880737305	100.0	440.8251	P-loop containing nucleoside triphosphate hydrolases superfamily protein	0.9987280159243241
AT4G30110.1	HMA2	4	canonical	21.0	101.98845940000076	0.0351209253417456	6.502232933044433	99.7	188.4622	heavy metal atpase 2	0.9939993452678682
AT4G30130.1	Q9SZW6	4	canonical	18.0	81.79892580000043	-0.6005517241379296	5.43098850250244	99.91	142.3338	DUF630 family protein (DUF630 and DUF632)	0.9973472118450578
AT4G30140.1	GDL68	4	canonical	31.0	37.47005430000006	0.0798850574712644	5.954020881652832	85.58	3568.3233	GDSL-like Lipase/Acylhydrolase superfamily protein	0.8982225936573142
AT4G30150.1	F4JPJ1	4	canonical	57.0	224.5907793000004	-0.015679442508711	6.530766105651855	99.98	67.9589	Urb2/Npa2 family protein	0.9930946665713287
AT4G30160.1	VILI4	4	canonical	149.0	109.32604010000082	-0.5490759753593429	5.833124351501465	100.0	224.5551	villin 4	0.9983394785507419
AT4G30170.1	PER45	4	canonical	100.0	35.82839480000004	-0.2110769230769231	9.313441276550291	75.62	7534.4096	Peroxidase family protein	0.8166755271851124
AT4G30180.1	BH146	4	canonical	2.0	17.809158500000002	-0.6189873417721524	8.98897190093994	93.04	96.2996	hypothetical protein	0.25231176885267037
AT4G30190.1	PMA2	4	canonical	346.0	104.40013330000086	0.0971518987341771	6.541679191589356	100.0	2367.851	H[+]-ATPase 2	0.9961637417923809
AT4G30200.3		4	canonical	41.0	77.48686510000039	-0.4433048433048428	6.130619621276855	100.0	198.686	vernalization5/VIN3-like protein	0.9982895987696142
AT4G30210.3		4	canonical	81.0	85.98760040000046	-0.2855297157622736	5.471344184875488	100.0	2491.8974	P450 reductase 2	0.9981546163027061
AT4G30240.1	Q944G8	4	canonical	11.0	34.4163982	-0.569333333333333	5.398249244689941	100.0	191.4664	Syntaxin/t-SNARE family protein	0.9634021900455664
AT4G30250.1	AATPE	4	canonical	23.0	59.51076120000003	-0.5435452793834299	5.727972221374513	90.52	1311.9805	P-loop containing nucleoside triphosphate hydrolases superfamily protein	0.9538961766160979
AT4G30260.1	YIP4B	4	canonical	11.0	30.219898900000008	0.3675	7.74177761077881	100.0	172.1472	Integral membrane Yip1 family protein	0.9660046267662337
AT4G30270.1	XTH24	4	canonical	82.0	30.755295200000027	-0.4925650557620817	8.356343650817873	99.67	9226.3534	xyloglucan endotransglucosylase/hydrolase 24	0.9144126975038345
AT4G30280.1	XTH18	4	canonical	39.0	32.07180320000001	-0.4815602836879436	8.788733100891115	94.45	6157.281	xyloglucan endotransglucosylase/hydrolase 18	0.8606840785665575
AT4G30290.1	XTH19	4	canonical	41.0	31.562285400000004	-0.4989169675090256	8.944746589660646	97.74	1707.047	xyloglucan endotransglucosylase/hydrolase 19	0.8864722866937988
AT4G30310.2	F4JQ90	4	canonical	61.0	62.55147750000018	-0.0632124352331606	5.724732398986817	100.0	234.2524	FGGY family of carbohydrate kinase	0.9939591212481032
AT4G30330.1	Q8LAK5	4	canonical	10.0	10.282109099999984	-0.2602272727272727	9.988425254821776	99.93	177.3486	Small nuclear ribonucleoprotein family protein	0.8749691266077031
AT4G30340.1	DGK7	4	canonical	39.0	54.571091500000016	-0.2650406504065044	7.942263221740723	100.0	144.0013	diacylglycerol kinase 7	0.9864856638089351
AT4G30350.1	SMXL2	4	canonical	25.0	101.39405690000082	-0.3218614718614715	7.511920738220215	100.0	326.3747	Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein	0.9980079252016956
AT4G30360.1	CNG17	4	canonical	13.0	83.3602946000004	-0.1277777777777778	8.786541175842284	100.0	77.354	cyclic nucleotide-gated channel 17	0.9846659472459607
AT4G30380.2	A0A1P8B4P8	4	canonical	3.0	13.490419499999982	0.2857142857142856	8.572892951965333	34.96	107.2427	Barwin-related endoglucanase	0.3558036752850239
AT4G30390.1	Q9M0C1	4	canonical	3.0	10.638360899999984	0.0578947368421053	9.612510108947756	99.93	313.4854	UDP-arabinopyranose mutase	0.9235137061301321
AT4G30400.1	ATL13	4	canonical	11.0	52.33826740000013	-0.3811440677966102	6.160516929626463	99.89	117.5794	RING/U-box superfamily protein	0.983336890590824
AT4G30430.1	TET9	4	canonical	7.0	31.063897500000056	0.2246323529411758	8.840178871154787	86.18	220.1339	tetraspanin9	0.7813297096969707
AT4G30440.1	GAE1	4	canonical	42.0	47.457525	-0.1815850815850817	9.617732048034668	100.0	1028.1973	UDP-D-glucuronate 4-epimerase 1	0.9866163069554746
AT4G30450.1	Q9M0B5	4	canonical	3.0	9.530291199999995	0.2775700934579447	9.96889133453369	97.09	1448.5648	glycine-rich protein	0.29223166117610544
AT4G30470.1	Q9M0B3	4	canonical	10.0	34.1956861	-0.1907590759075909	5.040106773376464	100.0	651.1943	NAD(P)-binding Rossmann-fold superfamily protein	0.9830315965202842
AT4G30480.2	Q9M0B2	4	canonical	50.0	30.92600620000007	-0.8068592057761724	4.6167699813842775	100.0	403.4548	Tetratricopeptide repeat (TPR)-like superfamily protein	0.966433694978998
AT4G30490.1	Q8L517	4	canonical	37.0	56.534021900000056	-0.2597585513078476	8.630850028991702	99.98	543.0195	AFG1-like ATPase family protein	0.9915028688840243
AT4G30500.1	Q8LEC2	4	canonical	6.0	19.3044724	-0.1017341040462427	9.80462589263916	99.88	125.0544	transmembrane protein (DUF788)	0.8955620797473848
AT4G30510.1	AT18B	4	canonical	7.0	39.87694990000006	0.0898907103825136	8.25815830230713	99.98	93.5367	yeast autophagy 18 B-like protein	0.9672406457885252
AT4G30520.1	Y4052	4	canonical	12.0	71.19268320000018	-0.0896604938271604	6.83491153717041	99.93	144.503	Leucine-rich repeat protein kinase family protein	0.992828338358468
AT4G30530.1	GGP1	4	canonical	55.0	28.385120300000025	-0.2864000000000001	5.463273048400879	100.0	2777.3714	Class I glutamine amidotransferase-like superfamily protein	0.9808704229469889
AT4G30550.1	GGP3	4	canonical	23.0	28.224225800000024	-0.1658634538152609	5.34942455291748	100.0	1010.4221	Class I glutamine amidotransferase-like superfamily protein	0.9833255548199762
AT4G30560.1	CNGC9	4	canonical	23.0	83.62291640000048	-0.1210095497953617	9.48918209075928	99.96	140.4972	cyclic nucleotide gated channel 9	0.994130876228099
AT4G30580.1	LPAT1	4	canonical	16.0	39.39458190000003	0.0297752808988763	9.872124290466306	100.0	168.4893	Phospholipid/glycerol acyltransferase family protein	0.9824420644036207
AT4G30590.1	Q9M0A1	4	canonical	9.0	19.822473599999974	0.0594736842105264	9.076777839660648	8.37	149.9569	early nodulin-like protein 12	0.47661728045937535
AT4G30600.1	Q9M0A0	4	canonical	55.0	69.57209520000036	-0.4539432176656135	7.0965982437133786	100.0	993.4937	signal recognition particle receptor alpha subunit family protein	0.9971926201331482
AT4G30610.1	SCP24	4	canonical	42.0	52.84429050000008	-0.3509677419354838	9.204489707946776	99.65	75.0138	alpha/beta-Hydrolases superfamily protein	0.8507265414254132
AT4G30620.1	EBFC1	4	canonical	19.0	19.5830214	-0.4777777777777782	9.18502025604248	99.98	198.9372	Putative BCR%2C YbaB family COG0718	0.9419783679596174
AT4G30630.1	Q9M097	4	canonical	6.0	26.89960700000001	-0.7210970464135025	9.095151329040526	100.0	1145.5052	hypothetical protein	0.9636980144754486
AT4G30640.1	FBL19	4	canonical	4.0	34.30400980000003	-0.3159468438538207	5.819426155090333	87.75	31.6046	RNI-like superfamily protein	0.42805222556505057
AT4G30690.1	IF34	4	canonical	37.0	31.823118200000017	-0.6768683274021351	9.545591926574708	99.98	353.4625	Translation initiation factor 3 protein	0.9675838980612586
AT4G30700.1	PP341	4	canonical	18.0	88.7759466000005	-0.0851010101010101	6.984682273864746	99.75	34.303	Pentatricopeptide repeat (PPR) superfamily protein	0.9450449517111958
AT4G30710.1	8-Aug	4	canonical	17.0	69.84516670000038	-0.5659937888198749	10.689841270446776	99.96	46.0297	QWRF motif protein (DUF566)	0.9580609964785058
AT4G30720.1	F4JQE2	4	canonical	64.0	77.08921860000042	-0.1534653465346538	8.682682609558107	99.95	278.9778	FAD/NAD(P)-binding oxidoreductase family protein	0.9973303335092301
AT4G30760.1	Q84K44	4	canonical	3.0	21.530379099999998	-0.2287958115183245	5.64669246673584	100.0	390.8708	Putative endonuclease or glycosyl hydrolase	0.9773198345741206
AT4G30780.1	Q9SUG8	4	canonical	40.0	64.5727881000003	-0.5171477079796266	5.572574424743652	99.75	157.1343	ATP-dependent DNA helicase	0.9862985349158903
AT4G30790.1	ATG11	4	canonical	45.0	129.1823967000009	-0.5209059233449477	5.502378273010252	100.0	283.8188	autophagy-like protein	0.9982376388879731
AT4G30800.1	RS112	4	canonical	62.0	17.93083419999999	-0.5761006289308178	10.738385963439942	99.86	259.9028	Nucleic acid-binding%2C OB-fold-like protein	0.9078166713964574
AT4G30810.1	SCP29	4	canonical	76.0	53.05523660000011	-0.2073068893528185	5.875412559509278	100.0	777.8883	serine carboxypeptidase-like 29	0.9924911527491972
AT4G30820.1	Q84K40	4	canonical	37.0	20.077381299999978	-0.6780898876404494	5.883426856994628	99.93	646.8374	cyclin-dependent kinase-activating kinase assembly factor-related / CDK-activating kinase assembly factor-like protein	0.9684711588732122
AT4G30825.1	PP342	4	canonical	35.0	103.30778920000073	-0.242699115044248	8.283300971984865	99.93	71.5456	Tetratricopeptide repeat (TPR)-like superfamily protein	0.986354243893827
AT4G30840.1	NUP43	4	canonical	20.0	39.353394900000026	-0.259556786703601	4.798768424987793	99.96	116.0824	Transducin/WD40 repeat-like superfamily protein	0.9687147946178
AT4G30860.1	ASHR3	4	canonical	15.0	56.12100350000002	-0.4993963782696177	8.548846244812015	99.24	796.1812	SET domain group 4	0.957340020047835
AT4G30870.1	MUS81	4	canonical	12.0	74.05525690000034	-0.5520485584218504	8.470259284973146	99.95	27.5819	Restriction endonuclease%2C type II-like superfamily protein	0.9776096164522455
AT4G30880.1	F4JR37	4	canonical	17.0	11.459549899999995	0.3256880733944954	8.693642234802244	41.0	7370.7261	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	0.8134237136009954
AT4G30890.1	UBP24	4	canonical	60.0	60.43930370000015	-0.4785843920145183	7.70432071685791	100.0	115.6056	ubiquitin-specific protease 24	0.9872852845093129
AT4G30900.1	F4JR41	4	canonical	9.0	35.502037000000044	-0.2509493670886075	5.997843742370605	100.0	88.8506	DNAse I-like superfamily protein	0.9698216099241975
AT4G30910.1	AMPL3	4	canonical	108.0	61.28939290000008	0.0697074010327022	6.257768440246582	99.96	150.9485	Cytosol aminopeptidase family protein	0.9896845522579564
AT4G30920.1	AMPL2	4	canonical	155.0	61.30644980000005	0.0590051457975986	6.620060157775879	100.0	190.8444	Cytosol aminopeptidase family protein	0.9917581073686457
AT4G30930.1	RM21	4	canonical	32.0	30.907280200000045	-0.7262962962962963	5.522897148132324	99.96	584.8105	Ribosomal protein L21	0.9685466034143165
AT4G30935.1	WRK32	4	canonical	34.0	51.47983630000008	-0.8075107296137335	5.750025749206543	99.96	218.5909	WRKY DNA-binding protein 32	0.9779617803222002
AT4G30940.1	Y4094	4	canonical	9.0	49.05176910000007	-0.2380952380952382	5.0959794998168935	99.98	56.1108	BTB/POZ domain with WD40/YVTN repeat-like protein	0.978710826825594
AT4G30950.1	FAD6C	4	canonical	40.0	51.224964500000056	-0.0705357142857142	9.014888191223148	100.0	690.9463	fatty acid desaturase 6	0.9901123385190139
AT4G30960.1	CIPK6	4	canonical	4.0	49.35618380000012	-0.3070294784580499	8.99599895477295	100.0	2450.7701	SOS3-interacting protein 3	0.9856931513344684
AT4G30980.1	LRL2	4	canonical	7.0	32.87930170000002	-0.4638709677419354	6.338536643981934	99.51	218.3828	LJRHL1-like 2	0.8386676700928521
AT4G30990.3	A0A1P8B4E4	4	canonical	129.0	297.520138800002	-0.0592606707317076	8.395733833312988	99.98	115.2229	ARM repeat superfamily protein	0.9898869341490119
AT4G30996.1	Q94AM8	4	canonical	9.0	19.11482120000001	-0.2744186046511627	5.571267127990722	100.0	412.0327	ubiquitin-associated protein (DUF1068)	0.9757601803603597
AT4G31010.1	CAF1M	4	canonical	15.0	46.39260120000004	-0.6953086419753084	9.43006458282471	99.89	52.5962	RNA-binding CRS1 / YhbY (CRM) domain-containing protein	0.9206420622073446
AT4G31020.1	Q84JV3	4	canonical	10.0	33.21174490000003	-0.3003401360544219	9.196302223205567	94.27	173.8617	alpha/beta-Hydrolases superfamily protein	0.7510606689872023
AT4G31040.1	Q8RXP7	4	canonical	8.0	51.02064610000002	-0.3246575342465749	4.976162910461425	100.0	228.1476	CemA-like proton extrusion protein-like protein	0.9884818606527594
AT4G31050.1	LIP2P	4	canonical	9.0	31.85829290000005	-0.2363309352517987	6.866059303283691	99.72	116.0327	Biotin/lipoate A/B protein ligase family	0.9260803355654524
AT4G31080.1	Q8L766	4	canonical	28.0	45.34218240000008	-0.5677261613691931	7.159007453918457	100.0	177.1241	integral membrane metal-binding family protein (DUF2296)	0.9782026334527555
AT4G31100.1	WAKLM	4	canonical	27.0	87.30353000000031	-0.2561068702290079	6.057354164123535	95.95	196.1327	wall-associated kinase	0.9877348999159653
AT4G31110.1	WAKLN	4	canonical	23.0	88.7531409000003	-0.2703656998738969	5.81897144317627	92.07	281.4068	Wall-associated kinase family protein	0.9827552139148089
AT4G31115.1	Q8RY26	4	canonical	8.0	28.34131870000004	-0.2916000000000001	6.2400915145874025	99.96	154.315	DUF1997 family protein%2C putative (DUF1997)	0.9751571284466031
AT4G31120.1	ANM15	4	canonical	64.0	71.86959480000023	-0.2342679127725859	5.30759105682373	99.96	93.1703	SHK1 binding protein 1	0.9930513004989889
